Data,Moto,Tipo,Categoria,Valor,Observação,Ano,Mes,Periodo
2026-01-03,2 - Factor 150cc STS,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-05,4 - Factor preta SOC,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-05,7 - Fazer 150 Preta SNO,Entrada,Aluguel,300.0,250 Aluguel 50 Caução,2026,1,2026-01
2026-01-07,9 - Fazer 150 Preta SNT,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-07,3 - Factor vermelha SGE,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-07,10 - Fazer 150 Preta SOD,Entrada,Caução,500.0,,2026,1,2026-01
2026-01-07,10 - Fazer 150 Preta SOD,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-08,5 - Yamaha Factor Azul - SOK,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-09,2 - Factor 150cc STS,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-12,5 - Yamaha Factor Azul - SOK,Saída,Outros,247.0,Pneu Traseiro,2026,1,2026-01
2026-01-12,6 - Fazer 150 Vermelha SOO,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-12,7 - Fazer 150 Preta SNO,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-13,4 - Factor preta SOC,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-15,10 - Fazer 150 Preta SOD,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-16,2 - Factor 150cc STS,Saída,Manutenção,110.0,Motor de Partida,2026,1,2026-01
2026-01-16,8 - Fazer 150 Preta SNP,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-16,5 - Yamaha Factor Azul - SOK,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-16,5 - Yamaha Factor Azul - SOK,Entrada,Caução,500.0,,2026,1,2026-01
2026-01-17,11 - Factor 2025 SOZ,Entrada,Aluguel,100.0,,2026,1,2026-01
2026-01-17,11 - Factor 2025 SOZ,Saída,Seguro,150.0,Adesão Seguro,2026,1,2026-01
2026-01-19,7 - Fazer 150 Preta SNO,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-19,1 - Honda CG preta OYQ,Entrada,Aluguel,510.0,,2026,1,2026-01
2026-01-19,4 - Factor preta SOC,Entrada,Aluguel,250.0,,2026,1,2026-01
2026-01-19,11 - Factor 2025 SOZ,Saída,Outros,71.95,Vistoria  Detran,2026,1,2026-01
2026-01-20,1 - Honda CG preta OYQ,Saída,Seguro,95.0,,2026,1,2026-01
2026-01-20,2 - Factor 150cc STS,Saída,Seguro,98.0,,2026,1,2026-01
